id,投稿内容,動画ファイルパス,文字数,稼ぎ,アカウント,アベ,場所,動画タイトル,動画の場所
1,"🔍出稼ぎメンエス｜在籍｜関東｜都内｜関西｜大阪｜名古屋
💫都内メンエス💫
🚨出稼ぎキャンセル枠4/6〜
✅アベ9万円前後の安定高収入
✅都内全域にルーム完備
✅個人オプション可能
✅真面目に働きたい・しっかり稼ぎたい方におすすめ
✅70分9,500円＋オプションバック",/Users/yusaku/kakeru/動画/都内メンエスアベ9OVER.mp4,138,都内メンエスアベ9OVER,kakeru,9,都内,"都内メンエス
アベ9OVER",動画
2,"🔍出稼ぎメンエス｜在籍｜関東｜都内｜関西｜大阪｜名古屋
💫都内メンエス💫
🚨出稼ぎキャンセル枠4/13〜
✅アベ9万円前後の安定高収入
✅オプション多数
✅客層重視の方にオススメ
✅女性スタッフ在籍
✅70分8,500円＋オプションバック",/Users/yusaku/kakeru/動画/都内メンエスアベ9OVER.mp4,123,都内メンエスアベ9OVER,,9,都内,"都内メンエス
アベ9OVER",
3,"🔍出稼ぎメンエス｜在籍｜関東｜都内｜関西｜大阪｜名古屋
💫都内メンエス💫
🚨出稼ぎキャンセル枠4/2〜
✅アベ6-
✅都内全域にルーム完備
✅ヌード可能であればオススメ
✅真面目に働きたい・しっかり稼ぎたい方におすすめエリアトップ店
✅90分10,000円＋オプションバック",/Users/yusaku/kakeru/動画/都内メンエスアベ6OVER.mp4,141,都内メンエスアベ6OVER,,6,都内,"都内メンエス
アベ6OVER",
4,"🔍出稼ぎメンエス｜在籍｜関東｜都内｜関西｜大阪｜名古屋
💫都内メンエス💫
🚨出稼ぎキャンセル枠4/14〜
✅アベ8万円前後の安定高収入
✅経験者は講習なし
✅雑費無し
✅真面目に働きたい・しっかり稼ぎたい方におすすめ
✅60分8,500円＋オプションバック",/Users/yusaku/kakeru/動画/都内メンエスアベ8OVER.mp4,132,都内メンエスアベ8OVER,,8,都内,"都内メンエス
アベ8OVER",
5,"🔍出稼ぎメンエス｜在籍｜関東｜都内｜関西｜大阪｜名古屋
💫栃木メンエス💫
🚨出稼ぎキャンセル枠4/4〜
✅アベ9万円前後の安定高収入
✅都内全域にルーム完備
✅個人オプション可能
✅オールヌード9,000円バック
✅90分23,000円以上バック狙える",/Users/yusaku/kakeru/動画/栃木メンエスアベ9OVER.mp4,130,栃木メンエスアベ9OVER,,9,栃木,"栃木メンエス
アベ9OVER",
6,"🔍出稼ぎメンエス｜在籍｜関東｜都内｜関西｜大阪｜名古屋
💫大阪メンエス💫
🚨出稼ぎキャンセル枠4/10〜
✅アベ9万円前後の安定高収入
✅都内全域にルーム完備
✅個人オプション可能
✅真面目に働きたい・しっかり稼ぎたい方におすすめ
✅70分9,500円＋オプションバック",/Users/yusaku/kakeru/動画/大阪メンエスアベ6OVER.mp4,139,大阪メンエスアベ6OVER,,6,大阪,"大阪メンエス
アベ6OVER",
7,"🔍出稼ぎメンエス｜在籍｜関東｜都内｜関西｜大阪｜名古屋
💫都内メンエス💫
🚨出稼ぎキャンセル枠4/15〜
✅アベ9万円前後の安定高収入
✅都内全域にルーム完備
✅個人オプション可能
✅真面目に働きたい・しっかり稼ぎたい方におすすめ
✅70分9,500円＋オプションバック",/Users/yusaku/kakeru/動画/都内メンエスアベ9OVER.mp4,139,都内メンエスアベ9OVER,,9,都内,"都内メンエス
アベ9OVER",
8,"🔍出稼ぎメンエス｜在籍｜関東｜都内｜関西｜大阪｜名古屋
💫都内メンエス💫
🚨出稼ぎキャンセル枠4/6〜
✅アベ10OVER
✅どのコースでも70分11,000円+OP
✅スタッフさんの人柄
✅胸の大きい方はかなり稼げます
✅駅近の好立地",/Users/yusaku/kakeru/動画/都内メンエスアベ10OVER.mp4,122,都内メンエスアベ10OVER,,10,都内,"都内メンエス
アベ10OVER",
9,"🔍出稼ぎメンエス｜在籍｜関東｜都内｜関西｜大阪｜名古屋
💫名古屋メンエス💫
🚨出稼ぎキャンセル枠4/11〜
✅アベ9万円前後の安定高収入
✅名古屋全域にルーム完備
✅個人オプション可能
✅保証時給あり
✅70分8,500円＋オプションバック",/Users/yusaku/kakeru/動画/名古屋メンエスアベ9OVER.mp4,124,名古屋メンエスアベ9OVER,,9,名古屋,"名古屋メンエス
アベ9OVER",
10,"🔍出稼ぎメンエス｜在籍｜関東｜都内｜関西｜大阪｜名古屋
💫名古屋メンエス💫
🚨出稼ぎキャンセル枠4/4〜
✅アベ9万円前後の安定高収入
✅スタッフの人柄〇
✅個人オプション可能
✅しっかり稼ぎたい方におすすめ
✅70分9,000円＋オプションバック",/Users/yusaku/kakeru/動画/名古屋メンエスアベ9OVER.mp4,128,名古屋メンエスアベ9OVER,,9,名古屋,"名古屋メンエス
アベ9OVER",
